"","site","A","B","C","D","E","F","G","H","I","J","K","L","M","N","P","patch","height"
"252","N1-2",NA,NA,NA,4,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","H"
"253","N10-1",NA,NA,NA,4.5,NA,NA,NA,NA,NA,79.625,NA,NA,NA,NA,NA,"N","L"
"254","N10-2",NA,NA,NA,6.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","H"
"255","N2-1",NA,NA,NA,26.5625,NA,15.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","L"
"256","N2-2",NA,NA,NA,0.5,NA,18.5,NA,NA,35.625,NA,NA,NA,NA,NA,NA,"N","H"
"257","N3-1",NA,NA,NA,16.625,NA,1.3125,NA,NA,61.5,NA,NA,NA,NA,NA,NA,"N","L"
"258","N3-2",NA,NA,NA,NA,NA,28.75,NA,NA,23.75,NA,NA,NA,NA,NA,NA,"N","H"
"259","N4-1",NA,NA,NA,NA,NA,19.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","L"
"260","N4-2",NA,NA,NA,NA,NA,53.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","H"
"261","N5-1",NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","L"
"262","N5-2",NA,NA,NA,5.125,NA,NA,NA,NA,0.9375,NA,NA,NA,NA,NA,NA,"N","H"
"263","N6-1",NA,NA,NA,55.3125,NA,NA,NA,NA,0.625,NA,NA,NA,NA,NA,NA,"N","L"
"264","N6-2",NA,NA,NA,22.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","H"
"265","N7-1",NA,NA,NA,12.1875,NA,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","L"
"266","N7-2",NA,NA,NA,1.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","H"
"267","N8-1",NA,NA,NA,NA,NA,16.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","L"
"268","N8-2",NA,NA,NA,0.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","H"
"269","N9-1",NA,NA,NA,5.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","L"
"270","N9-2",NA,NA,NA,27.5,NA,NA,NA,NA,0.9375,NA,NA,NA,NA,NA,NA,"N","H"
"271","O1-1",17.1875,NA,10.1875,NA,NA,0.0625,NA,NA,NA,57.9375,12.6875,NA,NA,NA,NA,"O","L"
"272","O1-2",5.9375,NA,3.4375,4.375,NA,0.3125,NA,NA,41.5625,1.875,9.0625,NA,NA,NA,NA,"O","H"
"273","O10-1",NA,0.125,NA,15.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O","L"
"274","O10-2",NA,NA,NA,4.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O","H"
"275","O2-1",NA,NA,21.5625,10.6875,NA,0.0625,NA,NA,0.3125,NA,NA,NA,NA,NA,NA,"O","L"
"276","O2-2",NA,NA,NA,49.4375,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"O","H"
"277","O3-1",64.6875,NA,0.0625,NA,NA,NA,NA,NA,NA,0.0625,NA,NA,NA,NA,NA,"O","L"
"278","O3-2",2.1875,NA,NA,3.625,NA,1.5625,NA,NA,NA,NA,16.25,NA,NA,NA,NA,"O","H"
"279","O4-1",NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O","L"
"280","O4-2",NA,NA,NA,7.4375,NA,NA,NA,NA,2.8125,NA,NA,NA,NA,NA,NA,"O","H"
"281","O5-1",NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,8.125,NA,"O","L"
"282","O5-2",NA,NA,NA,18.125,NA,29.5,NA,NA,NA,NA,NA,NA,NA,1.25,NA,"O","H"
"283","O6-1",0.6875,NA,2.25,3.25,NA,0.1875,NA,NA,46.8125,NA,NA,NA,NA,0.625,NA,"O","L"
"284","O6-2",NA,NA,NA,4.125,NA,31.25,NA,NA,3.125,NA,NA,NA,NA,NA,NA,"O","H"
"285","O7-1",3.8125,NA,28.375,0.0625,NA,NA,NA,NA,NA,47.8125,NA,NA,NA,NA,NA,"O","L"
"286","O7-2",60.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O","H"
"287","O8-1",6.875,NA,0.9375,45.3125,NA,0.0625,NA,NA,NA,0.0625,NA,NA,NA,NA,NA,"O","L"
"288","O8-2",NA,NA,NA,22.875,NA,2.5,NA,NA,15.9375,NA,NA,NA,NA,NA,NA,"O","H"
"289","O9-1",NA,NA,NA,12.1875,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O","L"
"290","O9-2",NA,NA,NA,27.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O","H"
"291","P1-1",0.3125,NA,NA,21.5625,NA,NA,NA,NA,0.3125,NA,NA,NA,NA,NA,NA,"P","L"
"292","P1-2",2.5625,NA,NA,10.125,NA,2.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","H"
"293","P10-1",NA,NA,NA,37.875,NA,0.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","L"
"294","P10-2",NA,NA,NA,8.875,NA,43.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","H"
"295","P2-1",NA,NA,NA,8.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","L"
"296","P2-2",NA,NA,NA,1.875,NA,53.125,NA,NA,4.1875,NA,NA,0.375,NA,NA,NA,"P","H"
"297","P3-1",NA,NA,NA,NA,NA,14.125,NA,NA,1.25,NA,NA,NA,NA,NA,0.0625,"P","L"
"298","P3-2",NA,NA,NA,1.6875,NA,7.3125,NA,NA,2.3125,NA,NA,NA,NA,NA,NA,"P","H"
"299","P4-1",NA,NA,NA,3.125,NA,1.3125,NA,NA,0.3125,NA,NA,NA,NA,NA,NA,"P","L"
"300","P4-2",NA,NA,NA,NA,NA,6.0625,NA,NA,NA,NA,NA,4.375,NA,NA,NA,"P","H"
"301","P5-1",NA,NA,NA,1.625,NA,8.8125,NA,NA,NA,NA,NA,NA,0.3125,1.25,NA,"P","L"
"302","P5-2",NA,NA,NA,NA,NA,30.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","H"
"303","P6-1",NA,NA,NA,12.25,NA,0.6875,NA,NA,NA,29.0625,NA,NA,NA,NA,NA,"P","L"
"304","P6-2",NA,NA,NA,9.25,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","H"
"305","P7-1",6.125,NA,13.3125,5.0625,NA,0.0625,NA,NA,NA,NA,NA,NA,NA,0.125,NA,"P","L"
"306","P7-2",NA,NA,NA,65.25,NA,1,NA,NA,0.6875,NA,NA,NA,NA,NA,NA,"P","H"
"307","P8-1",NA,10.375,NA,45,NA,0.125,NA,NA,NA,NA,1.3125,NA,NA,1,NA,"P","L"
"308","P8-2",NA,0.3125,NA,21,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,"P","H"
"309","P9-1",33.75,NA,NA,5,NA,NA,NA,NA,NA,3.5,22.8125,NA,NA,NA,NA,"P","L"
"310","P9-2",98.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","H"
"311","Q1-1",NA,NA,NA,14.5,NA,12.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","L"
"312","Q1-2",NA,NA,NA,4.6875,NA,18.5,NA,NA,6.5625,NA,NA,NA,NA,NA,NA,"Q","H"
"313","Q10-1",7,NA,NA,2.9375,NA,NA,NA,NA,0.3125,2.875,11.75,NA,NA,0.75,NA,"Q","L"
"314","Q10-2",NA,NA,NA,0.375,NA,NA,NA,NA,0.3125,NA,NA,39.5,NA,NA,NA,"Q","H"
"315","Q2-1",0.375,NA,NA,40,NA,NA,NA,NA,NA,NA,1.6875,NA,NA,NA,NA,"Q","L"
"316","Q2-2",41,NA,NA,1.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","H"
"317","Q3-1",NA,NA,NA,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","L"
"318","Q3-2",NA,NA,NA,10.375,NA,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","H"
"319","Q4-1",0.0625,NA,NA,10.9375,NA,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","L"
"320","Q4-2",NA,NA,NA,20.9375,NA,7.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","H"
"321","Q5-1",9.0625,NA,NA,0.0625,NA,9.0625,NA,NA,NA,41.625,NA,NA,NA,NA,NA,"Q","L"
"322","Q5-2",0.3125,NA,NA,NA,NA,15.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","H"
"323","Q6-1",NA,NA,NA,74.6875,NA,0.5625,NA,NA,0.625,NA,NA,NA,NA,NA,NA,"Q","L"
"324","Q6-2",NA,NA,NA,2.5,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","H"
"325","Q7-1",0.5625,NA,NA,16.5625,NA,2.875,NA,NA,0.3125,NA,NA,NA,NA,NA,NA,"Q","L"
"326","Q7-2",NA,NA,NA,19.0625,NA,6.4375,NA,NA,3.4375,NA,NA,NA,NA,NA,NA,"Q","H"
"327","Q8-1",NA,NA,NA,7,NA,11.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","L"
"328","Q8-2",NA,NA,NA,23.0625,NA,31.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","H"
